Date,Real,Predict
29/06,1,1
30/06,1,1
01/07,1,1
02/07,1,1
03/07,1,1
04/07,2,2
05/07,3,3
06/07,3,3
07/07,3,3
08/07,3,3
09/07,4,4
10/07,4,5
11/07,4,5
12/07,4,5
13/07,5,5
14/07,6,6
15/07,6,7
16/07,7,7
17/07,7,8
18/07,10,8
19/07,12,11
20/07,13,14
21/07,16,15
22/07,18,18
23/07,20,20
24/07,22,22
25/07,23,24
26/07,25,25
27/07,25,27
28/07,27,27
29/07,29,29
30/07,37,31
31/07,39,39
01/08,45,41
02/08,51,47
03/08,61,53
04/08,74,63
05/08,83,76
06/08,94,86
07/08,102,97
08/08,109,105
09/08,115,112
10/08,133,118
11/08,144,136
12/08,155,147
13/08,161,158
14/08,186,164
15/08,199,189
16/08,213,202
17/08,235,216
18/08,256,238
19/08,260,259
20/08,281,263
21/08,286,284
22/08,294,289
23/08,309,297
24/08,311,312
25/08,317,314
26/08,321,321
27/08,325,325
28/08,329,329
29/08,342,333
30/08,354,346
31/08,377,358
01/09,400,362
02/09,425,367
03/09,428,371
04/09,429,375
05/09,429,379
06/09,,383
07/09,,387
08/09,,391
09/09,,395
10/09,,400
11/09,,404
12/09,,408
13/09,,413
14/09,,417
15/09,,422
