Date,Real,Predict
29/06,39,39
30/06,26,26
01/07,23,23
02/07,23,23
03/07,22,22
04/07,3,3
05/07,3,3
06/07,9,9
07/07,8,8
08/07,8,8
09/07,10,12
10/07,9,16
11/07,3,13
12/07,4,5
13/07,6,6
14/07,4,9
15/07,5,6
16/07,6,7
17/07,8,9
18/07,6,11
19/07,6,9
20/07,9,9
21/07,7,13
22/07,7,11
23/07,11,11
24/07,17,16
25/07,19,25
26/07,20,27
27/07,22,29
28/07,21,32
29/07,17,31
30/07,17,25
31/07,17,25
01/08,22,24
02/08,22,32
03/08,21,31
04/08,19,30
05/08,21,28
06/08,19,30
07/08,23,27
08/08,32,33
09/08,38,47
10/08,45,55
11/08,50,64
12/08,95,71
13/08,125,136
14/08,169,179
15/08,196,243
16/08,247,281
17/08,217,354
18/08,213,310
19/08,212,305
20/08,280,304
21/08,300,401
22/08,369,427
23/08,482,524
24/08,585,677
25/08,633,821
26/08,663,889
27/08,650,929
28/08,596,909
29/08,547,831
30/08,505,759
31/08,488,699
01/09,,969
02/09,,1345
03/09,,1868
04/09,,2594
05/09,,3599
06/09,,4975
07/09,,6840
08/09,,9337
09/09,,12627
10/09,,16862
11/09,,22151
12/09,,28478
13/09,,35621
14/09,,43143
15/09,,50396
