Date,Real,Predict
29/06,39,39
30/06,57,57
01/07,55,55
02/07,36,36
03/07,33,33
04/07,26,26
05/07,6,6
06/07,7,7
07/07,5,5
08/07,5,5
09/07,8,8
10/07,6,14
11/07,6,11
12/07,9,10
13/07,14,16
14/07,12,25
15/07,13,20
16/07,13,21
17/07,10,21
18/07,9,16
19/07,12,15
20/07,17,19
21/07,17,27
22/07,18,26
23/07,15,28
24/07,17,24
25/07,10,26
26/07,12,16
27/07,12,18
28/07,13,19
29/07,12,20
30/07,14,18
31/07,14,22
01/08,17,21
02/08,17,25
03/08,16,25
04/08,16,23
05/08,17,24
06/08,18,25
07/08,23,27
08/08,46,35
09/08,65,69
10/08,85,97
11/08,98,127
12/08,106,145
13/08,99,157
14/08,102,146
15/08,104,152
16/08,104,154
17/08,135,154
18/08,163,200
19/08,156,241
20/08,164,230
21/08,150,240
22/08,160,218
23/08,155,229
24/08,192,219
25/08,228,267
26/08,257,314
27/08,247,352
28/08,241,335
29/08,324,325
30/08,312,431
31/08,338,412
01/09,359,441
02/09,,585
03/09,,789
04/09,,1080
05/09,,1497
06/09,,2097
07/09,,2966
08/09,,4223
09/09,,6040
10/09,,8646
11/09,,12306
12/09,,17265
13/09,,23685
14/09,,31422
15/09,,39970
16/09,,48424
