Date,Real,Predict
30/06,182,182
01/07,61,61
02/07,353,353
03/07,193,193
04/07,221,221
05/07,276,276
06/07,40,40
07/07,42,42
08/07,42,42
09/07,135,2169
10/07,148,208
11/07,104,210
12/07,249,226
13/07,189,334
14/07,234,210
15/07,249,132
16/07,222,249
17/07,26,364
18/07,369,119
19/07,231,420
20/07,82,212
21/07,243,83
22/07,333,222
23/07,147,335
24/07,271,125
25/07,39,238
26/07,223,57
27/07,340,223
28/07,14,313
29/07,301,271
30/07,429,445
31/07,43,507
01/08,230,96
02/08,180,250
03/08,42,172
04/08,37,-50
05/08,873,15
06/08,22,813
07/08,410,-21
08/08,202,352
09/08,92,214
10/08,180,76
11/08,214,166
12/08,122,213
13/08,194,124
14/08,188,186
15/08,168,170
16/08,216,158
17/08,230,197
18/08,227,217
19/08,235,217
20/08,219,228
21/08,218,230
22/08,173,274
23/08,198,180
24/08,257,262
25/08,342,396
26/08,225,447
27/08,355,290
28/08,253,424
29/08,366,364
30/08,330,3402
31/08,320,3395
01/09,343,3284
02/09,378,3126
03/09,362,2932
04/09,,2734
05/09,,2576
06/09,,2429
07/09,,2237
08/09,,2038
09/09,,1880
10/09,,1729
11/09,,1584
12/09,,1447
13/09,,1318
