Date,Real,Predict
30/06,374,374
01/07,179,179
02/07,73,73
03/07,109,109
04/07,317,317
05/07,114,114
06/07,22,22
07/07,44,44
08/07,39,39
09/07,75,-27
10/07,256,74
11/07,78,252
12/07,68,77
13/07,121,68
14/07,227,121
15/07,68,224
16/07,255,68
17/07,430,253
18/07,285,425
19/07,215,280
20/07,649,211
21/07,688,642
22/07,516,676
23/07,264,508
24/07,861,254
25/07,244,848
26/07,786,237
27/07,736,776
28/07,391,722
29/07,204,368
30/07,88,195
31/07,160,83
01/08,349,135
02/08,253,335
03/08,142,246
04/08,261,141
05/08,141,253
06/08,187,136
07/08,243,183
08/08,185,240
09/08,130,181
10/08,312,132
11/08,146,314
12/08,239,148
13/08,144,237
14/08,373,146
15/08,446,371
16/08,308,441
17/08,181,304
18/08,319,185
19/08,485,313
20/08,200,474
21/08,298,205
22/08,416,303
23/08,357,407
24/08,211,349
25/08,388,204
26/08,560,375
27/08,241,539
28/08,114,231
29/08,114,113
30/08,293,110
31/08,338,293
01/09,199,332
02/09,200,-52
03/09,160,2676
04/09,756,8
05/09,109,3515
06/09,343,-11228
07/09,,-591398
08/09,,-20024851889
09/09,,317714032864006939296661504
