Date,Real,Predict
29/06,89,89
30/06,120,120
01/07,112,112
02/07,80,80
03/07,58,58
04/07,40,40
05/07,7,7
06/07,24,24
07/07,24,24
08/07,23,23
09/07,25,458
10/07,26,505
11/07,8,513
12/07,10,162
13/07,11,197
14/07,10,225
15/07,9,205
16/07,13,193
17/07,12,268
18/07,15,241
19/07,16,312
20/07,18,328
21/07,19,371
22/07,23,379
23/07,26,466
24/07,29,517
25/07,27,588
26/07,29,541
27/07,33,584
28/07,40,663
29/07,44,790
30/07,54,885
31/07,49,1070
01/08,46,983
02/08,42,908
03/08,41,837
04/08,35,809
05/08,42,695
06/08,48,829
07/08,48,959
08/08,60,959
09/08,63,1184
10/08,83,1248
11/08,88,1650
12/08,139,1737
13/08,155,2750
14/08,197,3073
15/08,223,3896
16/08,254,4411
17/08,317,5020
18/08,340,6245
19/08,412,6708
20/08,406,8111
21/08,374,7989
22/08,271,7366
23/08,265,5341
24/08,148,5223
25/08,97,2922
26/08,80,1917
27/08,59,1582
28/08,4,1164
29/08,0,82
30/08,0,0
31/08,0,0
01/09,0,0
02/09,,0
03/09,,0
04/09,,0
05/09,,0
06/09,,0
07/09,,0
08/09,,0
09/09,,0
10/09,,0
11/09,,0
12/09,,0
13/09,,0
14/09,,0
15/09,,0
16/09,,0
17/09,,0
18/09,,0
19/09,,0
20/09,,0
21/09,,0
22/09,,0
23/09,,0
24/09,,0
25/09,,0
26/09,,0
