Date,Real,Predict
30/06,0,0
01/07,0,0
02/07,18,18
03/07,2,2
04/07,95,95
05/07,16,16
06/07,10,10
07/07,7,7
08/07,5,5
09/07,0,-4
10/07,3,0
11/07,1,2
12/07,16,0
13/07,3,15
14/07,23,3
15/07,16,21
16/07,9,17
17/07,20,9
18/07,20,19
19/07,4,19
20/07,7,4
21/07,19,7
22/07,25,20
23/07,23,25
24/07,10,24
25/07,7,10
26/07,10,8
27/07,24,11
28/07,12,25
29/07,1,17
30/07,28,5
31/07,0,31
01/08,30,4
02/08,18,38
03/08,30,21
04/08,8,33
05/08,12,13
06/08,30,19
07/08,29,30
08/08,3,41
09/08,71,11
10/08,32,76
11/08,21,39
12/08,16,27
13/08,29,21
14/08,36,27
15/08,15,37
16/08,21,18
17/08,40,23
18/08,48,42
19/08,32,52
20/08,13,35
21/08,38,19
22/08,35,45
23/08,33,38
24/08,16,39
25/08,22,20
26/08,46,22
27/08,6,42
28/08,32,6
29/08,7,27
30/08,9,9
31/08,16,9
01/09,24,18
02/09,7,345
03/09,13,4761
04/09,5,41231
05/09,34,-2207725
06/09,19,-193324565114
07/09,,-5066957435942103985327964160
