Date,Real,Predict
30/06,21,21
01/07,36,36
02/07,96,96
03/07,1,1
04/07,61,61
05/07,101,101
06/07,0,0
07/07,0,0
08/07,0,0
09/07,2,-9
10/07,21,2
11/07,56,20
12/07,96,53
13/07,2,93
14/07,64,2
15/07,96,62
16/07,55,93
17/07,4,53
18/07,55,4
19/07,47,53
20/07,46,46
21/07,33,45
22/07,44,32
23/07,64,42
24/07,75,62
25/07,7,73
26/07,44,6
27/07,58,45
28/07,39,56
29/07,37,38
30/07,32,35
31/07,95,31
01/08,57,89
02/08,71,55
03/08,57,69
04/08,53,55
05/08,56,51
06/08,15,54
07/08,11,14
08/08,16,11
09/08,11,16
10/08,103,11
11/08,9,100
12/08,136,10
13/08,26,132
14/08,87,30
15/08,76,87
16/08,70,76
17/08,28,69
18/08,148,30
19/08,83,140
20/08,80,83
21/08,104,79
22/08,120,101
23/08,46,119
24/08,159,45
25/08,132,150
26/08,113,125
27/08,183,107
28/08,56,173
29/08,55,55
30/08,72,54
31/08,91,70
01/09,80,90
02/09,161,69
03/09,112,2475
04/09,185,-76294
05/09,344,-1161898767
06/09,134,-98718558954248831238144
