Date,Real,Predict
30/06,28,28
01/07,10,10
02/07,66,66
03/07,39,39
04/07,21,21
05/07,64,64
06/07,4,4
07/07,43,43
08/07,5,5
09/07,14,-21
10/07,3,13
11/07,14,3
12/07,67,13
13/07,52,64
14/07,30,49
15/07,67,28
16/07,7,64
17/07,32,7
18/07,126,31
19/07,39,122
20/07,11,36
21/07,129,10
22/07,94,124
23/07,200,89
24/07,94,193
25/07,21,90
26/07,120,17
27/07,17,113
28/07,146,13
29/07,170,138
30/07,83,164
31/07,242,77
01/08,54,227
02/08,113,49
03/08,487,97
04/08,180,461
05/08,201,172
06/08,246,192
07/08,82,235
08/08,240,79
09/08,314,228
10/08,314,303
11/08,51,301
12/08,132,47
13/08,95,124
14/08,279,100
15/08,209,281
16/08,218,216
17/08,151,208
18/08,148,146
19/08,224,142
20/08,223,221
21/08,319,214
22/08,59,325
23/08,367,83
24/08,300,360
25/08,238,284
26/08,272,221
27/08,402,240
28/08,244,357
29/08,249,220
30/08,242,228
31/08,16,223
01/09,119,16
02/09,137,602
03/09,268,8018
04/09,149,-618852
05/09,166,-139379251957
06/09,144,-796311396620389988812632096768
