Date,Real,Predict
30/06,38,38
01/07,49,49
02/07,112,112
03/07,23,23
04/07,40,40
05/07,125,125
06/07,4,4
07/07,36,36
08/07,13,13
09/07,12,-8
10/07,30,16
11/07,18,27
12/07,111,16
13/07,25,115
14/07,55,33
15/07,111,49
16/07,95,110
17/07,67,94
18/07,97,60
19/07,114,93
20/07,19,116
21/07,140,26
22/07,91,136
23/07,74,88
24/07,61,67
25/07,147,57
26/07,196,132
27/07,202,192
28/07,35,199
29/07,254,31
30/07,98,239
31/07,134,96
01/08,217,131
02/08,186,214
03/08,157,179
04/08,176,149
05/08,148,169
06/08,150,145
07/08,196,144
08/08,192,198
09/08,124,224
10/08,140,150
11/08,165,165
12/08,188,180
13/08,179,196
14/08,140,157
15/08,222,134
16/08,117,218
17/08,133,110
18/08,153,173
19/08,168,192
20/08,169,146
21/08,102,175
22/08,286,69
23/08,230,297
24/08,97,213
25/08,259,153
26/08,33,305
27/08,291,72
28/08,202,261
29/08,294,175
30/08,350,417
31/08,178,312
01/09,239,202
02/09,181,6875
03/09,697,59386
04/09,276,-1199372
05/09,307,-7936737784
06/09,343,-35089579303619079962624
