Date,Real,Predict
29/06,159,159
30/06,177,177
01/07,170,170
02/07,127,127
03/07,91,91
04/07,56,56
05/07,14,14
06/07,25,25
07/07,28,28
08/07,29,29
09/07,25,568
10/07,28,502
11/07,19,544
12/07,18,385
13/07,19,358
14/07,16,369
15/07,15,315
16/07,13,291
17/07,11,260
18/07,25,225
19/07,24,498
20/07,27,478
21/07,25,533
22/07,36,494
23/07,21,701
24/07,24,420
25/07,31,479
26/07,33,611
27/07,24,653
28/07,27,478
29/07,27,525
30/07,16,529
31/07,19,322
01/08,18,381
02/08,19,365
03/08,20,381
04/08,21,393
05/08,20,420
06/08,22,393
07/08,30,435
08/08,35,595
09/08,43,688
10/08,40,836
11/08,38,778
12/08,32,743
13/08,35,622
14/08,38,696
15/08,62,751
16/08,84,1222
17/08,102,1634
18/08,127,1983
19/08,139,2473
20/08,164,2702
21/08,184,3190
22/08,188,3574
23/08,200,3659
24/08,174,3900
25/08,123,3396
26/08,80,2402
27/08,50,1555
28/08,0,983
29/08,0,0
30/08,0,0
31/08,0,0
01/09,0,0
02/09,,0
03/09,,0
04/09,,0
05/09,,0
06/09,,0
07/09,,0
08/09,,0
09/09,,0
10/09,,0
11/09,,0
12/09,,0
13/09,,0
14/09,,0
15/09,,0
16/09,,0
17/09,,0
18/09,,0
19/09,,0
20/09,,0
21/09,,0
22/09,,0
23/09,,0
24/09,,0
25/09,,0
26/09,,0
