Date,Real,Predict
29/06,8,8
30/06,10,10
01/07,11,11
02/07,13,13
03/07,16,16
04/07,26,26
05/07,38,38
06/07,39,39
07/07,41,41
08/07,42,42
09/07,43,161
10/07,44,169
11/07,45,178
12/07,51,184
13/07,53,202
14/07,57,214
15/07,117,230
16/07,122,298
17/07,127,314
18/07,133,320
19/07,143,345
20/07,146,366
21/07,187,373
22/07,219,423
23/07,261,469
24/07,289,515
25/07,361,555
26/07,430,623
27/07,490,697
28/07,531,769
29/07,745,808
30/07,820,1019
31/07,921,1109
01/08,1109,1203
02/08,1250,1387
03/08,1369,1525
04/08,1519,1635
05/08,1636,1774
06/08,1743,1924
07/08,1911,2023
08/08,2053,2197
09/08,2122,2337
10/08,2229,2405
11/08,2330,2511
12/08,2437,2614
13/08,2548,2718
14/08,2663,2829
15/08,2770,2943
16/08,2866,3049
17/08,2962,3147
18/08,3057,3246
19/08,3157,3344
20/08,3269,3447
21/08,3333,3560
22/08,3452,3629
23/08,3543,3746
24/08,3587,3839
25/08,3701,3892
26/08,3719,4012
27/08,3840,4040
28/08,3938,4168
29/08,4050,4269
30/08,4189,4390
31/08,4323,4533
01/09,4450,4671
02/09,4545,4979
03/09,5010,5248
04/09,5137,5483
05/09,5287,5685
06/09,5522,5857
07/09,,6001
08/09,,6120
09/09,,6216
10/09,,6290
11/09,,6345
12/09,,6382
13/09,,6403
14/09,,6409
15/09,,6402
16/09,,6382
17/09,,6351
18/09,,6310
19/09,,6260
20/09,,6202
21/09,,6137
22/09,,6066
23/09,,5988
24/09,,5906
25/09,,5819
26/09,,5728
