Date,Real,Predict
29/06,0,0
30/06,0,0
01/07,0,0
02/07,1,1
03/07,1,1
04/07,2,2
05/07,6,6
06/07,6,6
07/07,6,6
08/07,6,6
09/07,7,8
10/07,8,9
11/07,9,10
12/07,11,11
13/07,14,13
14/07,15,16
15/07,17,17
16/07,18,20
17/07,18,21
18/07,22,21
19/07,23,25
20/07,23,27
21/07,27,27
22/07,31,31
23/07,33,35
24/07,36,37
25/07,37,40
26/07,40,41
27/07,44,44
28/07,44,48
29/07,52,48
30/07,66,56
31/07,67,71
01/08,77,72
02/08,84,82
03/08,86,89
04/08,88,91
05/08,137,93
06/08,138,142
07/08,158,143
08/08,170,164
09/08,176,176
10/08,190,182
11/08,207,196
12/08,214,213
13/08,226,220
14/08,239,232
15/08,250,245
16/08,271,256
17/08,290,277
18/08,306,296
19/08,323,312
20/08,343,330
21/08,358,350
22/08,371,365
23/08,387,378
24/08,403,394
25/08,420,410
26/08,434,427
27/08,453,441
28/08,466,460
29/08,482,473
30/08,496,489
31/08,522,504
01/09,542,530
02/09,564,538
03/09,578,545
04/09,596,552
05/09,611,559
06/09,630,565
07/09,,571
08/09,,577
09/09,,582
10/09,,588
11/09,,593
12/09,,597
13/09,,602
14/09,,606
15/09,,609
16/09,,613
17/09,,616
18/09,,620
19/09,,623
20/09,,626
21/09,,628
22/09,,631
23/09,,633
24/09,,635
25/09,,637
26/09,,639
